Frame,Luminance value,base line
938,180.9225223,
939,181.0895768,
940,181.5851514,
941,181.8949042,
942,181.8983222,
943,181.2461709,
944,180.5234022,
945,179.6668474,
946,179.6789315,
947,179.7570334,
948,179.6006372,
949,179.2508116,
950,179.3039795,
951,179.3065381,
952,179.5423205,
953,178.9812118,
954,178.784331,
955,178.6840038,
956,178.6797207,
957,178.679149,
958,178.4252131,
959,178.2797552,
960,177.8945213,
961,177.8949253,
962,177.6178347,
963,177.420757,
964,177.3745836,
965,177.3747429,
966,177.5124763,
967,177.4760733,
968,177.1000368,
969,176.8817065,
970,176.8809786,
971,176.7136808,
972,176.8008082,
973,176.74831,
974,176.5581832,
975,176.5703523,
976,176.2924244,
977,176.5720818,
978,177.0124789,
979,177.3026012,
980,177.3058867,
981,177.9499146,
982,178.1871569,
983,178.2544335,
984,178.3057543,
985,178.3021493,
986,179.0266933,
987,180.1467734,
988,181.0571231,
989,181.0580288,
990,181.3733863,
991,181.6804012,
992,182.2601341,
993,183.1341953,
994,183.1357916,
995,183.5526748,
996,184.1908839,
997,183.9859933,
998,183.4962782,
999,183.4940301,
1000,183.5459792,
1001,184.305997,
1002,184.5403813,
1003,183.5176207,
1004,183.5099426,
1005,182.4836806,
1006,181.6876484,
1007,181.9864578,
1008,181.118146,
1009,181.1246842,
1010,180.4008817,
1011,179.401709,
1012,179.6082124,
1013,179.6097708,
1014,157.6251747,
1015,157.1278893,
1016,155.828835,
1017,153.4284009,
1018,153.4314186,
1019,150.9334689,
1020,150.2175781,
1021,149.9417814,
1022,150.1128844,
1023,150.1138782,
1024,150.3352874,
1025,150.4255159,
1026,151.1670811,
1027,152.0059627,
1028,151.9856306,
1029,152.4961651,
1030,152.7408744,
1031,152.9987514,
1032,152.9972325,
1033,153.3222839,
1034,153.356657,
1035,153.4173819,
1036,153.4167064,
1037,153.488828,
1038,153.8304455,
1039,153.9361069,
1040,154.0057171,
1041,154.1474977,
1042,154.1770225,
1043,154.2410624,
1044,154.2392438,
1045,166.9923285,base line
1046,166.9920821,base line
1047,166.9918749,base line
1048,166.9921506,base line
1049,166.992131,base line
1050,166.9921955,base line
1051,166.9924442,base line
1052,166.9922747,base line
1053,166.9920302,base line
1054,166.9919959,base line
1055,166.9918513,base line
1056,166.9920043,base line
1057,166.9917108,base line
1058,166.9920705,base line
1059,166.9919101,base line
1060,166.9920405,base line
1061,166.9917246,base line
1062,166.99209,base line
1063,166.9917746,base line
1064,166.9919282,base line
1065,166.9919206,base line
1066,166.9914547,base line
1067,166.9917081,base line
1068,166.9917714,base line
1069,166.9916593,base line
1070,166.9918259,base line
1071,166.9917774,base line
1072,166.9916697,base line
1073,166.991718,base line
1074,166.9910426,base line
1075,166.9916194,base line
1076,166.9917456,base line
1077,166.9918961,base line
1078,166.9916327,base line
1079,166.9919196,base line
1080,166.9921838,base line
1081,166.9920195,base line
1082,166.9913962,base line
1083,166.9917743,base line
1084,166.9920368,base line
1085,166.9919906,base line
1086,166.9916849,base line
1087,166.9921941,base line
1088,166.9922439,base line
1089,166.9922067,base line
1090,166.9918648,base line
1091,166.9922107,base line
1092,166.9921686,base line
1093,166.9920639,base line
1094,166.9917416,base line
1095,166.9926011,base line
1096,166.9924446,base line
1097,166.9921776,base line
1098,166.9916732,base line
1099,166.9923989,base line
1100,166.9921738,base line
1101,166.9923558,base line
1102,166.9917538,base line
1103,166.9913828,base line
1104,166.9912404,base line
1105,166.9914947,base line
1106,166.9915013,base line
1107,166.9915549,base line
1108,166.9915887,base line
1109,166.9917789,base line
1110,166.991836,base line
1111,166.991442,base line
1112,166.9911622,base line
1113,166.9914764,base line
1114,166.9916715,base line
1115,166.9916761,base line
1116,166.9916704,base line
1117,166.9917211,base line
1118,166.9915049,base line
1119,166.9919478,base line
1120,166.9918021,base line
1121,166.992165,base line
1122,166.992129,base line
1123,166.9922058,base line
1124,166.9919824,base line
1125,166.9924835,base line
1126,166.9923437,base line
1127,166.992031,base line
1128,166.9923293,base line
1129,166.9923843,base line
1130,166.9926207,base line
1131,166.9919997,base line
1132,166.9910267,base line
1133,166.9909706,base line
1134,166.9912397,base line
1135,166.991314,base line
1136,166.9916026,base line
1137,166.9917502,base line
1138,166.9915931,base line
1139,166.9916917,base line
1140,166.9912446,base line
1141,166.9911898,base line
1142,166.9918123,base line
1143,166.9913228,base line
1144,166.9912632,base line
1145,166.9913535,base line
1146,166.9916265,base line
1147,166.9918572,base line
1148,166.9914352,base line
1149,166.9916256,base line
1150,166.9916959,base line
1151,166.9917003,base line
1152,166.9915839,base line
1153,166.9913457,base line
1154,165.7463497,
1155,165.7463442,
1156,165.8923212,
1157,165.8923212,
1158,165.5533206,
1159,165.5578616,
1160,165.6499884,
1161,165.4570236,
1162,165.4573349,
1163,165.5651379,
1164,165.5651379,
1165,165.464001,
1166,165.4639283,
1167,165.6795117,
1168,165.5592689,
1169,165.5592689,
1170,165.5213108,
1171,165.5276588,
1172,165.6309222,
1173,165.6309222,
1174,165.5234348,
1175,165.5321481,
1176,165.5321481,
1177,165.3419686,
1178,165.3418763,
1179,165.4262776,
1180,165.423056,
1181,165.3813598,
1182,165.1995785,
1183,165.0451362,
1184,165.1981764,
1185,165.2026147,
1186,165.0966111,
1187,165.0966241,
1188,165.087764,
1189,165.046017,
1190,165.046017,
1191,164.9863367,
1192,164.9817809,
1193,165.0328417,
1194,164.8847966,
1195,164.8705157,
1196,165.1532029,
1197,165.1532029,
1198,165.1619375,
1199,165.1618907,
1200,165.4197419,
1201,165.4128569,
1202,165.4128569,
1203,165.5589779,
1204,165.5679512,
1205,165.6427331,
1206,165.6427331,
1207,165.6513681,
1208,165.7442399,
1209,165.7442399,
1210,165.6670327,
1211,165.6670363,
1212,165.6608442,
1213,165.6608442,
1214,165.8197246,
1215,165.8404563,
1216,165.8404695,
1217,165.9807694,
1218,165.970054,
1219,165.9022674,
1220,165.9032709,
1221,166.0370181,
1222,165.9635496,
1223,165.958936,
1224,165.8832963,
1225,165.8763818,
1226,165.9696941,
1227,165.7175246,
1228,165.7149722,
1229,165.86392,
1230,165.86392,
1231,165.9015269,
1232,165.9014596,
1233,165.9533782,
1234,165.7649327,
1235,165.7702718,
1236,165.4785703,
1237,165.4728383,
1238,165.5522793,
1239,165.5522793,
1240,165.4685735,
1241,165.4271083,
1242,165.4271302,
1243,165.7428609,
1244,165.7428609,
1245,165.7492959,
1246,165.7894523,
1247,166.1459299,
1248,166.0820333,
1249,166.0848726,
1250,166.2674372,
1251,166.2674372,
1252,166.0975651,
1253,166.1036315,
1254,166.2837747,
1255,166.2456776,
1256,166.2456776,
1257,166.1503021,
1258,166.153554,
1259,166.2541193,
1260,166.1269772,
1261,166.1269486,
1262,166.166361,
1263,166.166361,
1264,165.83867,
1265,165.8386285,
1266,165.5322665,
1267,164.9110466,
1268,164.947433,
1269,164.69036,
1270,164.6038626,
1271,164.8137407,
1272,164.8137407,
1273,164.4719913,
1274,164.2374928,
1275,164.2492804,
1276,164.3980535,
1277,164.3980535,
1278,164.2100693,
1279,164.2112468,
1280,164.4018783,
1281,164.3010403,
1282,164.301012,
1283,164.4256279,
1284,164.4256279,
1285,164.301351,
1286,164.3014155,
1287,164.6475139,
1288,164.7451276,
1289,164.7451276,
1290,164.6849433,
1291,164.6761394,
1292,164.7858284,
1293,164.4593201,
1294,164.4592312,
1295,164.7743543,
1296,164.7743543,
1297,164.8037249,
1298,164.8051819,
1299,164.7103051,
1300,164.9922085,
1301,165.0055916,
1302,164.8943526,
1303,164.8941593,
1304,165.1358291,
1305,165.1358291,
1306,165.1360617,
1307,165.0999662,
1308,165.1017214,
1309,165.3203602,
1310,165.3203602,
1311,165.0266953,
1312,165.0270598,
1313,165.1683873,
1314,164.9827543,
1315,164.9817337,
1316,165.2127059,
1317,165.2127059,
1318,165.0598276,
1319,165.0598427,
1320,165.2063973,
1321,165.3259499,
1322,165.2926184,
1323,165.3542331,
1324,165.3594895,
1325,165.4451187,
1326,165.4451187,
1327,165.4493824,
1328,165.5019772,
1329,165.5019234,
1330,165.7605578,
1331,165.7605578,
1332,165.867051,
1333,165.9760438,
1334,166.0389646,
1335,166.1496206,
1336,166.1494307,
1337,166.3509134,
1338,166.3509134,
1339,166.3634865,
1340,166.2823117,
1341,166.3075264,
1342,166.4951741,
1343,166.5296916,
1344,166.4073267,
1345,166.4476083,
1346,166.7477028,
1347,166.9280089,
1348,166.9286256,
1349,167.4113157,
1350,167.3620148,
1351,167.4747898,
1352,167.4743256,
1353,167.7689796,
1354,167.9891767,
1355,167.9891767,
1356,168.3319889,
1357,168.3958458,
1358,169.0008635,
1359,168.9975471,
1360,169.6539668,
1361,170.2750292,
1362,170.2846381,
1363,171.10106,
1364,171.1260735,
1365,172.0645042,
1366,172.7989098,
1367,172.7989098,
1368,173.279152,
1369,173.2863132,
1370,173.5933519,
1371,173.5933519,
1372,173.7205242,
1373,174.3708404,
1374,174.3708404,
1375,174.6959494,
1376,174.6498726,
1377,175.2573438,
1378,175.2573438,
1379,175.7458959,
1380,175.4972102,
1381,175.4972102,
1382,174.9854715,
1383,175.0494465,
1384,174.8762067,
1385,166.9923285,base line
1386,166.9920821,base line
1387,166.9918749,base line
1388,166.9921506,base line
1389,166.992131,base line
1390,166.9921955,base line
1391,166.9924442,base line
1392,166.9922747,base line
1393,166.9920302,base line
1394,166.9919959,base line
1395,166.9918513,base line
1396,166.9920043,base line
1397,166.9917108,base line
1398,166.9920705,base line
1399,166.9919101,base line
1400,166.9920405,base line
1401,166.9917246,base line
1402,166.99209,base line
1403,166.9917746,base line
1404,166.9919282,base line
1405,166.9919206,base line
1406,166.9917036,base line
1407,166.9918474,base line
1408,166.9918997,base line
1409,166.9916593,base line
1410,166.9919875,base line
1411,166.9922171,base line
1412,166.9917939,base line
1413,166.9918016,base line
1414,166.9910628,base line
1415,166.9918125,base line
1416,166.9919036,base line
1417,166.9916336,base line
1418,166.9917509,base line
1419,166.9916133,base line
1420,166.9915623,base line
1421,166.99173,base line
1422,166.9920039,base line
1423,166.9918047,base line
1424,166.991901,base line
1425,166.9920008,base line
1426,166.9915978,base line
1427,166.9918536,base line
1428,166.9921595,base line
1429,166.9917745,base line
1430,166.9922126,base line
1431,166.9919192,base line
